service_id,date,exception_type
57_R,20241101,1
58_R,20241029,1
58_R,20241030,1
58_R,20241031,1
59_R,20241102,1
60_R,20241103,1
61_R,20241109,1
61_R,20241116,1
61_R,20241123,1
61_R,20241130,1
61_R,20241207,1
61_R,20241214,1
62_R,20241110,1
62_R,20241117,1
62_R,20241124,1
62_R,20241201,1
62_R,20241208,1
63_R,20241108,1
63_R,20241115,1
63_R,20241122,1
63_R,20241129,1
63_R,20241206,1
63_R,20241213,1
64_R,20241104,1
64_R,20241105,1
64_R,20241106,1
64_R,20241107,1
64_R,20241111,1
64_R,20241112,1
64_R,20241113,1
64_R,20241114,1
64_R,20241118,1
64_R,20241119,1
64_R,20241120,1
64_R,20241121,1
64_R,20241125,1
64_R,20241126,1
64_R,20241127,1
64_R,20241128,1
64_R,20241202,1
64_R,20241203,1
64_R,20241204,1
64_R,20241205,1
64_R,20241209,1
64_R,20241210,1
64_R,20241211,1
64_R,20241212,1
65_R,20241102,1
65_R,20241109,1
65_R,20241116,1
65_R,20241123,1
65_R,20241130,1
65_R,20241207,1
65_R,20241214,1
66_R,20241103,1
66_R,20241110,1
66_R,20241117,1
66_R,20241124,1
66_R,20241201,1
66_R,20241208,1
